title, lecturer, affiliation
Introduction to Cybersecurity, Birger Andersen, Technical University of Denmark (DTU)
Network Security Basics, Birger Andersen, Technical University of Denmark (DTU)
DevSecOps, Jacopo Mauro, University of Southern Denmark (SDU)
Network Security Exercises, Robert Nielsen, Aalborg University (AAU)
Data Carving in Forensics, Steven Albury and Daniel Ellebæk, Københavns Erhvervsakademi (KEA)
The Managerial and Organizational Aspect of Cybersecurity, Xiao Xiao and Irfan Kanat, Copenhagen Business School (CBS)
